state,district,forecast_step,pred_bio,dist_avg,spike_score,Risk_Level
Jharkhand,Purbi Singhbhum,1,182.3376078731643,39.3218372948325,4.637057177822316,HIGH (Deploy Team)
Punjab,Malerkotla,1,244.81438406354525,55.79578084937874,4.387686314928079,HIGH (Deploy Team)
Nagaland,Kohima,1,137.58945522196274,31.638732427883536,4.3487663589424885,HIGH (Deploy Team)
Jharkhand,Pashchimi Singhbhum,1,132.02368805680612,31.136764605978726,4.240122239015662,HIGH (Deploy Team)
Uttar Pradesh,Ayodhya,1,207.89468483974863,49.33642128492344,4.2138176913792185,HIGH (Deploy Team)
Haryana,Charkhi Dadri,1,161.8678154653184,38.90975832788078,4.160082776698514,HIGH (Deploy Team)
West Bengal,Purba Bardhaman,1,165.7806525971194,40.961455767099444,4.047235370239837,HIGH (Deploy Team)
Madhya Pradesh,Narsimhapur,1,225.91005985056995,56.119735008940324,4.0255011862508026,HIGH (Deploy Team)
Jharkhand,Seraikela-kharsawan,1,120.71148727728072,30.03527392590676,4.018990723209676,HIGH (Deploy Team)
Assam,Biswanath,1,158.07728479271134,39.8491784717784,3.966889427963071,HIGH (Deploy Team)
Odisha,Debagarh,1,269.27382280671867,67.91019616227858,3.9651457074760974,HIGH (Deploy Team)
Maharashtra,Mumbai( Sub Urban ),1,252.41300103832756,63.677681326090514,3.9639163327215394,HIGH (Deploy Team)
West Bengal,Koch Bihar,1,155.69079971271046,39.52641570281875,3.938905082699104,HIGH (Deploy Team)
West Bengal,Alipurduar,1,100.92556515486118,25.671306202766576,3.9314542219898616,HIGH (Deploy Team)
Tamil Nadu,Chengalpattu,1,261.0860042828445,66.70740863873795,3.9138981652965623,HIGH (Deploy Team)
Manipur,Ukhrul,1,142.22127725422496,36.36058178318857,3.911413687004904,HIGH (Deploy Team)
Puducherry,Karaikal,1,186.32499036266967,47.91717820939643,3.888480025857028,HIGH (Deploy Team)
Madhya Pradesh,West Nimar,1,133.20884407146096,35.29775729272159,3.773861409005967,HIGH (Deploy Team)
Mizoram,Lawngtlai,1,114.54968719678018,30.405472301349633,3.7674036456817537,HIGH (Deploy Team)
Assam,Sibsagar,1,316.5467042210417,84.20039954474935,3.7594442061145923,HIGH (Deploy Team)
West Bengal,Maldah,1,328.25314523408724,88.84632972761301,3.6946168315613352,HIGH (Deploy Team)
Jharkhand,Pakur,1,344.89819502192347,93.58134535724854,3.6855443112649016,HIGH (Deploy Team)
West Bengal,North Twenty Four Parganas,1,237.1420741644415,64.57918606835165,3.672113084755304,HIGH (Deploy Team)
Odisha,Jagatsinghpur,1,291.6588165895096,80.1440392024955,3.639182894845011,HIGH (Deploy Team)
Telangana,Rajanna Sircilla,1,207.1397163958528,57.41904001308725,3.6075092225268905,HIGH (Deploy Team)
West Bengal,Bardhaman,1,333.1531374315598,93.10820535581523,3.5781286531987933,HIGH (Deploy Team)
Karnataka,Hasan,1,326.8719712170823,92.47473019930773,3.5347166789520332,HIGH (Deploy Team)
Punjab,Firozpur,1,247.0408491748551,70.66974657578034,3.495708717590336,HIGH (Deploy Team)
